100000 500000
92580 29698 15
65092 43198 13
72144 26939 20
54881 42351 9
52293 7672 20
55671 4962 17
32555 44556 20
53783 93407 3
7965 39964 2
17305 68915 15
70347 62910 4
10965 99944 16
26390 52261 13
76341 92442 10
46609 55929 16
74183 35739 3
24652 27177 9
85857 3557 13
3622 55221 4
12271 87004 13
38125 86779 8
36388 33993 14
75216 68128 14
69017 59810 18
45892 67456 16
48775 42355 17
32190 73940 7
37079 39325 6
63518 56680 20
51852 92954 9
67439 66482 12
82911 75768 5
83782 10086 4
27183 86801 8
17616 17878 1
85491 38986 13
69345 8353 4
60056 41546 11
15673 37377 5
27551 28979 7
93213 98365 14
76506 79890 6
23081 49762 11
10274 10213 6
45200 20415 4
17852 75514 12
55748 57270 15
32444 93234 17
41762 36942 6
64566 14730 2
22971 49846 16
22175 91696 5
18061 60548 5
23832 31208 15
40 33565 6
12131 35552 19
72625 4645 12
35264 51737 13
30317 91482 8
25252 40739 7
61693 19643 14
39633 83109 8
64237 13797 13
71664 37025 15
24257 53280 5
98365 76791 11
11270 74658 14
83094 48074 7
21065 70427 13
52548 90851 20
54587 519 4
85262 27166 13
31860 63889 14
52354 53323 9
96277 32438 19
7824 62056 6
89761 26731 10
29503 42099 10
58144 99021 15
72162 8868 4
10721 46850 17
47477 93138 3
61272 37611 14
60343 97775 11
26916 70557 20
44853 74749 10
35661 29975 15
93225 82213 13
84539 42280 8
19149 81079 3
74904 5612 9
81593 34096 16
96859 85163 9
1982 1719 8
79567 15721 8
56054 31434 17
92816 87168 12
2468 19402 2
4540 36381 11
2369 33621 10
19068 16772 10
5101 50193 12
87382 74165 13
79368 37959 14
34221 88640 19
57092 55797 13
44075 79429 18
89411 83981 7
81746 75065 11
13979 27977 2
43827 82005 3
94064 65570 12
13284 97852 14
12631 32879 16
43189 9604 7
79631 92873 11
55717 99746 8
35219 22462 18
55082 88423 11
6947 71701 3
44649 93533 20
69298 95895 4
96360 87214 19
49978 46754 12
29608 71180 3
79844 80250 14
70026 1616 13
59342 38771 10
81208 53688 17
79393 64152 13
87419 98028 11
65599 34702 4
64187 68293 11
95588 29726 4
4421 21104 15
61652 52500 19
9440 59717 13
24079 58574 10
72606 41063 14
81554 50054 11
1537 5120 16
93645 18193 19
78804 17689 1
69365 26962 5
74244 29635 1
1711 64075 5
12069 30602 5
53878 37687 20
60215 69625 12
57841 27851 10
66053 80856 9
35681 18970 2
12012 22806 4
53035 86843 5
39250 27037 7
72963 72737 19
21741 92001 7
83459 68 19
75870 56065 19
71283 87909 8
48388 54008 6
20986 56409 9
35614 20780 16
83302 24033 6
4240 29908 6
42344 40565 20
51718 36870 10
46011 9331 7
43151 57264 2
6306 82562 15
47970 27452 1
72652 51037 6
74698 53003 7
60414 90829 17
61448 60548 8
46981 69380 7
49752 18980 20
26320 26729 20
62127 13767 7
88949 16486 1
63043 4071 3
2502 44710 11
25848 30194 20
3769 59109 19
70913 25231 13
89704 93749 19
12234 18855 7
11446 37191 11
57145 1033 18
62487 80935 19
34589 19199 10
33639 81899 12
85530 86103 17
6583 29857 4
92183 67959 2
51475 63159 7
4797 5175 15
91056 94041 19
91010 79206 16
37303 10171 4
37930 55505 18
36822 86182 19
99099 7007 3
32049 23246 20
4017 26239 10
40805 75050 19
44798 56567 10
32201 45386 11
12653 31500 11
43863 19776 8
38236 37617 13
87141 15554 12
13675 13066 14
42177 2618 5
47162 10797 14
82378 52670 20
99830 48775 4
60841 56438 5
50046 60144 3
4536 44264 17
61446 27840 14
66078 73371 2
70707 94329 1
51156 96229 8
40360 75571 9
91346 15483 7
35180 72864 6
76642 8683 2
5761 87572 15
83043 30693 3
45800 99965 20
84150 65033 8
55386 46571 6
53350 17637 4
68509 41020 16
94005 97659 6
77262 90276 17
10746 89795 15
94201 81824 3
21430 75368 12
3421 88028 3
66785 5194 13
11257 17468 20
20903 78808 1
95909 70187 18
68858 32359 17
50988 89211 2
44925 67506 11
36847 75036 15
19051 11829 9
27384 99901 11
80125 88653 18
39794 8873 14
24661 30715 5
41707 31707 20
22708 81535 6
14804 35267 3
88065 34289 12
66306 69278 2
18165 33449 16
23531 9128 15
8017 57734 6
18170 19141 14
91808 68569 17
84638 46180 11
41733 4386 14
78548 49384 5
59065 45440 8
25946 23573 18
47871 12634 11
76176 6185 3
15821 58434 9
48008 40849 20
19657 22970 11
73175 66494 18
71661 43621 10
80314 33105 11
92970 66243 12
70583 18975 17
67395 99692 4
42066 72686 9
32733 81811 18
45329 93022 16
38472 51383 17
27047 10855 1
11200 29871 3
63474 93735 9
41595 44475 6
74212 41763 7
19027 7672 7
41583 83177 18
83810 96542 19
93590 24122 17
70296 92266 7
34908 47022 2
4428 80783 19
31042 98647 2
52069 85497 19
62636 34005 15
79622 85389 10
80416 25795 2
64604 15229 8
12076 11238 8
62822 63396 7
69129 51212 8
37627 52301 20
57911 86093 11
49995 61213 18
65113 28534 16
85765 11358 1
74312 23942 3
31858 40662 16
46003 89292 15
90810 70643 15
91824 23238 8
74419 26235 10
64263 61925 5
51560 49703 12
3756 90757 5
16856 20927 9
78224 92894 17
50952 22387 6
80557 20234 1
84455 72419 11
15182 97529 5
71197 36784 8
57024 56243 4
74970 5595 5
32098 49706 1
25321 12319 7
80281 59744 7
13494 27690 14
54447 77053 11
11115 8266 1
24741 21705 20
46026 57163 11
68149 42426 7
93075 60899 5
8724 39533 9
40542 9249 19
73289 77264 3
93024 12993 6
64493 52538 11
19005 52956 18
54862 14379 16
90216 72169 15
7168 766 3
21592 21859 12
80765 98504 11
70845 14097 2
79258 95314 4
75073 59400 3
38583 34819 19
64401 24484 4
11002 68376 18
96540 76525 19
91864 51835 7
1746 1256 1
88586 28547 19
79384 20298 5
74485 81921 19
57019 20759 8
32628 92274 20
60101 78071 10
5816 97648 3
94285 62198 9
99147 97653 14
28644 53276 17
35608 60767 16
7643 30237 19
30988 62735 14
57276 89330 16
9215 92725 16
40146 8148 12
99111 69378 20
61374 16350 13
47434 25088 20
3245 80680 13
59739 70591 16
93348 22840 1
26123 65119 17
54839 47542 20
18369 18761 4
60355 72049 8
53976 38575 13
10603 99134 20
37811 60804 9
1328 6980 6
16350 48369 10
83805 27106 13
40378 80756 15
63505 66714 20
58446 67277 18
76645 49718 20
47861 91437 8
40062 58073 11
27247 46799 13
62764 8386 10
74422 20348 14
85532 59537 4
53564 21307 17
2489 59262 1
95204 51357 5
52635 98873 12
55910 32907 10
44833 49433 7
59315 34065 5
9063 28259 16
52102 6861 7
40012 39992 5
72434 97131 10
91140 1020 4
61594 95636 19
62978 66856 16
20412 71038 4
59887 23462 11
39548 24267 8
3069 70858 11
50112 95420 4
2350 78961 9
21937 63219 17
27898 76022 5
44396 2785 11
86668 22786 13
50779 92061 8
65441 94775 18
22069 77000 20
21742 2620 6
94543 14789 20
94352 8983 9
36450 99106 1
2139 43194 9
36401 86082 3
56234 48080 1
51386 60016 9
61068 82238 5
5705 43163 16
18387 83760 10
81558 51164 6
2051 87009 15
95512 49250 19
12435 40914 9
51550 93103 18
10125 82253 13
91024 63267 14
62390 11575 1
6172 45078 1
24815 59869 2
92763 38767 13
38686 82624 2
33764 98949 8
24618 86667 1
89388 41945 1
36015 58272 20
25294 95593 15
39073 3056 14
91921 16177 16
19789 94516 2
83013 663 2
30778 11098 7
36495 74436 12
20742 29313 20
42702 4597 9
10649 8318 12
69302 16588 2
84323 71901 12
38563 78413 15
70185 55478 19
96176 25457 12
77496 55235 5
69798 7345 15
74340 47232 3
38646 5698 1
4163 9366 13
2450 31577 12
69472 45600 18
38059 13233 4
88330 29325 14
16311 32653 7
70080 48281 2
69187 98164 10
18520 26639 12
97077 13148 11
30335 51147 7
16020 98649 20
47671 85652 19
92370 56813 4
90855 41373 1
86687 41120 8
66993 62263 8
7498 15777 8
24298 11341 14
46284 20992 14
65583 57743 18
26150 67842 10
97784 97729 1
23275 75735 8
68955 73235 13
39794 10016 3
29072 30649 17
25610 27019 9
75622 55387 8
77037 88441 15
13438 41016 5
47989 12605 10
3680 25861 5
91930 8473 13
81963 63421 10
49510 76619 6
65072 16939 18
4244 139 18
94157 3198 14
37577 68680 13
51915 65440 12
70304 27514 17
11809 31428 10
83645 47775 18
22295 75371 20
13137 37458 15
30471 12357 10
72756 13435 4
21572 6773 18
93346 66620 18
32561 81401 13
34479 26630 3
94554 82187 7
97345 61965 11
67714 92115 12
41278 31643 14
13724 2602 20
89858 15226 6
73820 54639 4
67909 43384 19
72612 70665 14
74933 22493 19
72978 97612 12
27927 29270 1
87774 83881 15
56503 9492 18
8244 20087 3
51918 21693 12
13996 68453 8
61640 46093 5
15599 45621 3
55495 64576 13
62673 11542 4
54426 32376 12
73448 39310 16
98360 69696 9
17383 91001 6
27734 55575 15
95094 7777 13
85670 84335 8
81878 46630 5
82902 50799 1
60372 84900 17
74546 90539 13
81809 14063 12
89255 30925 17
98055 18343 18
1906 74700 15
31882 90273 13
69364 1402 15
28714 47419 9
8006 2557 20
9773 72815 9
95764 41974 18
86934 73247 19
7168 73207 10
86957 58430 19
24322 93618 8
36955 47335 2
50018 87473 14
41712 25840 1
28543 87709 5
46645 44282 16
88687 78222 4
65367 99569 9
43694 90041 12
84691 76085 18
55752 83663 15
19309 67382 15
57816 84317 20
90815 22232 11
58175 98067 7
10030 1225 3
16071 62153 11
71213 86733 10
77847 69979 4
7487 58070 2
87992 37159 15
24109 40078 5
21507 12498 17
60852 6636 14
11757 44339 4
65856 65981 16
16928 8379 14
20015 92440 13
72237 53820 20
85186 74623 14
2400 29159 11
90763 70015 1
92267 4027 17
83637 51832 15
86346 94293 14
59244 20797 10
76692 86178 16
19911 56359 12
15083 28587 18
75602 91422 5
9607 35548 6
50207 2367 15
2294 11847 3
86823 40487 15
86299 71267 11
29233 19894 11
65876 81218 19
38672 1949 7
84109 85858 11
56360 91736 5
68142 63640 15
9481 20128 19
93844 96907 15
21551 65444 20
53466 73639 15
991 34831 7
41999 30242 6
66143 92580 10
28701 65434 3
96070 18557 17
16831 27450 15
14622 59988 8
36494 49423 19
99232 84061 16
32523 826 1
65421 39984 5
98875 22199 6
12050 25659 4
84784 93970 10
49426 90343 16
38442 30978 10
66221 44472 18
820 89749 5
48484 46953 14
95489 90325 4
47959 92118 1
73896 11386 15
33142 67035 4
63901 3174 12
62591 21172 7
34981 96449 18
88856 80691 18
46209 3386 11
92683 21880 4
11357 59837 9
22684 97658 14
51927 67293 5
53759 83860 7
10057 74238 9
2044 99211 13
3645 2624 10
17797 43133 14
38917 8813 6
48782 23272 12
34689 84829 15
35752 55541 4
42536 73745 10
86645 1033 10
39819 37210 20
86424 40913 8
49593 54192 7
16243 53107 1
79101 62227 2
54581 43834 6
77918 60993 9
43514 46483 11
5307 24594 8
47938 82863 2
49086 52291 19
92121 19412 15
10965 80971 11
91789 90852 17
89091 37157 4
10872 43605 11
75853 19580 14
10649 62483 19
65071 53358 1
66062 29511 20
50257 76736 11
4842 95578 15
89349 46690 5
18636 88947 13
43271 95764 18
24690 69211 15
50536 97425 8
50159 30198 5
1979 93932 18
17639 55736 19
22524 50353 1
91108 24768 2
73395 90904 10
44449 84511 19
30839 78371 14
26780 7828 14
87419 56813 20
99683 33305 8
88899 82972 6
47590 82258 12
28842 49035 3
33533 90418 3
50929 2912 3
67590 57640 4
66171 5792 19
4406 32534 18
63469 80129 19
27137 91842 13
8575 94753 14
15293 59469 2
46335 91849 17
20310 6326 9
26696 17843 20
46242 30759 20
71999 79826 2
77649 12849 16
11776 73940 15
86359 11466 13
74911 75521 20
35139 40507 1
47037 67824 1
94138 97449 4
49103 4813 8
54642 21678 15
97516 82867 2
82431 52724 9
85454 53672 2
9919 9987 20
94835 80616 13
25632 82647 7
82674 56939 7
93943 49788 9
77774 77424 5
31357 88301 1
32865 19982 7
15711 32825 10
63789 89748 3
90210 23257 3
24682 28300 6
87294 7089 3
21728 56626 20
89452 53891 9
18634 438 8
65327 549 5
34775 72677 11
17984 17353 3
16341 71418 15
66207 88139 19
97497 46971 19
17742 20603 9
56719 77581 11
35865 77970 1
99420 64022 1
49936 51427 7
7526 10480 10
7389 74909 9
68103 37920 3
23276 30908 12
63914 80373 19
9904 17893 2
7453 70307 14
26038 25813 10
15330 61211 6
15271 35380 16
98905 71420 13
37953 91507 9
43437 95293 12
20835 52888 15
24142 41467 19
85790 17003 2
67589 34676 10
57587 703 9
35895 75203 6
98578 22648 5
53524 75973 16
56538 64694 4
68059 98928 16
67569 75119 7
1085 66285 13
83307 70353 12
3574 10737 17
46143 33166 8
35362 63668 17
62144 56586 16
17030 12176 4
68799 40631 11
53609 89601 1
21871 44903 17
70196 49954 12
54734 42426 4
10488 93876 18
75513 82211 11
11931 94138 2
4492 70029 4
81207 93705 5
51780 54248 6
52492 49955 14
47264 57003 3
22533 81862 18
17843 54942 14
14119 57532 6
89623 84604 1
73322 22877 7
56000 26749 2
59313 63126 14
37970 84352 2
79718 41509 17
77022 32231 9
94659 35887 10
8611 69012 10
58759 3050 19
74688 15201 4
84355 26848 8
89328 52340 19
81917 89158 15
38879 30863 2
48295 6470 10
20669 71674 11
96730 70304 7
47694 46094 2
66707 49899 4
27784 34268 6
68935 66622 10
6761 74285 11
54827 4305 11
50312 22450 11
15580 90285 12
24407 90895 4
3240 33349 3
40773 92164 9
2504 72310 19
13434 94578 9
55098 84984 15
4885 41145 14
39861 87699 11
28119 56565 12
37632 74252 13
39361 45546 16
21299 88273 17
11170 6780 10
42139 88322 12
7620 42876 15
10478 55863 6
49165 28942 19
63847 91842 12
66133 73334 15
98993 65675 15
96676 11918 9
77437 55092 13
78173 54607 5
61549 11188 16
97233 16965 6
35271 80791 12
93124 13358 3
72999 36250 4
98401 4688 17
48205 67639 20
43399 43158 7
77160 77394 11
19636 608 19
61699 60372 4
42404 14070 5
62010 62275 19
82091 75016 17
19347 37775 8
52471 39052 9
89085 328 15
25575 56013 6
93074 8053 19
77456 36809 11
37537 81502 7
69577 82349 20
15597 17952 20
96468 81328 6
20405 82881 16
94992 93336 7
85917 36517 12
27437 46518 18
81753 74327 17
22660 19278 16
3997 25633 14
88546 46689 12
83975 64716 15
77821 60220 12
15337 53256 9
17560 23812 19
18090 27996 4
34299 89783 20
7774 59344 16
81332 9922 4
59146 6286 14
41024 52002 13
86876 86593 3
42209 43192 11
94356 50090 4
68374 85559 15
86587 18317 15
80235 64993 16
50261 65752 15
52723 19261 1
34150 67918 2
96089 55868 3
42482 87305 13
6035 7732 5
18259 12805 5
59774 96470 12
54067 20333 1
22839 56213 1
65951 45023 20
45450 45434 20
66680 2127 17
43542 11567 5
27839 25227 12
34252 18740 4
40904 46201 20
22555 83968 17
62382 51462 16
24540 74442 14
31911 23015 20
33300 46382 15
54056 84682 16
50938 46312 5
16882 86998 3
78868 7853 15
40602 36728 12
1677 19269 10
25341 57412 7
26781 99779 9
33852 17121 13
18467 76505 18
66169 20026 3
20964 45953 19
20531 74986 19
26626 88074 2
66224 72410 14
39417 45817 15
80096 23277 17
39968 37036 10
77928 9889 20
52759 72166 13
46413 18996 4
64553 41729 7
40676 8306 14
32895 76956 2
1891 60279 13
45737 94978 10
77566 57096 16
24498 27591 1
70091 22713 17
42871 72092 3
81718 75454 17
57280 968 5
7273 63327 1
54629 11020 18
53010 76282 1
31762 18163 16
49255 96107 11
2458 81315 8
44814 59395 19
18371 41644 9
97621 55174 11
58654 13848 1
74561 59295 15
43897 63300 20
67041 77114 8
81372 34301 4
44626 79200 20
27108 14979 16
45100 349 19
46537 56415 7
13479 30188 9
36422 28859 16
18197 76000 17
9074 74423 20
78694 46714 1
84491 59488 12
54004 71739 18
16299 6879 12
81404 56288 19
76165 75905 9
25572 17375 5
31112 60575 7
96053 59712 9
15704 99833 19
73606 89376 7
57317 30479 20
95906 35881 8
93362 83711 8
18034 48834 17
78964 95470 6
16041 5284 6
59065 74228 1
90050 64613 8
72292 83655 11
71839 64989 4
30001 15641 8
44384 47670 20
98276 96794 20
85128 52771 17
2630 55846 18
55420 19647 12
84827 98084 9
43718 2627 5
7203 74309 13
64560 68267 10
64313 36067 5
62711 52452 17
48339 43283 6
16764 1553 1
17233 9334 15
22102 35094 16
34439 193 17
83936 80309 13
45501 74175 1
60711 23779 5
56878 82113 4
77573 87579 11
57745 1471 1
8347 65712 5
61094 37410 20
70631 68719 13
77193 91166 16
69913 90622 16
43510 39138 7
12178 84943 2
78896 64791 4
34159 45653 10
6378 29136 2
86332 65511 11
19986 44557 16
1428 53727 5
39285 68341 20
98540 76416 18
24961 17642 4
89951 80219 17
22271 56395 2
20867 26557 7
3156 19667 6
60300 57415 19
74765 72818 16
96133 48346 3
45888 27384 7
11441 84743 4
15365 13739 4
78676 77937 5
21713 27935 5
30563 74280 6
8801 33774 6
53455 47103 9
48833 67379 15
92476 26167 3
78854 63159 17
87125 92563 8
46183 93065 20
85050 40092 19
99553 98783 2
26643 47698 16
50655 46847 16
15986 15215 8
99419 68723 13
60445 8623 3
34684 2465 15
75860 17519 4
55391 95997 1
33093 1294 14
70900 13001 9
73696 63855 11
92383 72065 14
80555 52626 2
29700 58223 20
81777 87989 2
70046 65402 2
89733 26354 13
15547 45019 17
63069 24291 11
71223 81319 4
51095 65618 14
29452 36800 20
93073 65091 18
93369 22471 11
39845 72959 19
46990 52227 18
23525 18188 16
85349 40442 2
18955 72393 10
106 53135 14
36775 31169 14
46571 41774 14
97743 8321 1
19041 70239 18
49136 41862 2
64178 67039 14
76375 9282 14
43874 42481 11
17791 36592 2
93162 40728 1
20010 1949 4
17896 17965 8
95799 38242 11
78317 67935 1
94488 51376 10
33613 14218 17
4761 74438 13
42124 88792 10
26589 70687 20
99039 95447 19
48477 77258 4
32470 19608 10
30864 73022 9
886 32008 13
31195 20104 5
97757 88034 14
46351 5931 9
62270 68869 17
27395 63738 7
61998 33281 8
93834 8049 11
48926 3808 6
10410 45385 2
94165 80750 8
15172 79161 7
82908 11832 13
633 63136 12
41032 57889 4
84088 18893 7
46068 55912 4
32146 81177 14
21456 96404 17
80446 47803 11
39228 31379 18
62443 36555 15
83944 58448 9
6848 10152 5
39329 11498 8
18819 43147 1
84880 82404 12
45052 32413 4
94704 54573 10
12269 8882 13
95488 94830 18
89749 42956 7
9069 12123 14
28110 86512 15
38291 50835 6
83582 36868 4
58827 50016 12
77154 79409 1
28885 6855 7
48009 83604 13
56222 31350 4
98047 81201 20
61998 39553 7
41043 62568 12
97511 65928 14
34943 93135 18
47868 44123 14
40255 17449 2
21401 53848 10
860 16053 16
66894 64006 3
94442 84647 13
47890 10543 20
66631 34864 9
3959 55071 4
16956 9600 15
43228 40313 8
83791 253 12
34566 70195 1
26993 7882 5
2840 2885 6
41828 42837 13
2540 92973 14
16466 51022 2
37637 5184 11
64547 16620 14
21409 11242 1
93537 71955 14
84641 38423 17
78733 18474 18
99502 45514 2
1774 98510 4
58380 46141 6
63303 10402 7
50854 93038 12
75894 58487 7
53331 99805 9
69184 59300 17
62375 26397 18
76372 52771 10
52967 26892 5
41288 99864 5
4312 73062 19
75204 45065 10
22328 35181 3
4455 15349 9
7932 86765 5
51564 39159 19
55397 40681 3
13661 37988 14
2655 94672 5
72028 89080 10
46457 80715 9
73189 44904 7
27934 84727 6
30026 6691 8
54049 37237 2
92232 26208 15
85416 68663 20
49344 46540 15
4995 40320 4
42349 6683 15
71705 87438 11
84257 59598 10
20417 8720 2
59985 54264 6
63238 54560 4
27076 91198 7
45949 32494 10
68353 30797 8
72867 37323 20
92198 25724 13
69608 33632 10
9357 19921 12
73564 88076 13
34376 26410 14
12807 64898 19
20571 52165 14
63797 92957 6
53044 30141 10
4019 66584 3
73927 71937 17
21894 19516 18
78291 38911 19
35066 48954 4
74346 97559 6
33114 1754 12
19314 992 5
89482 13985 14
54316 20254 17
40751 80812 3
46154 81524 6
88952 52000 3
71193 9863 3
59816 5533 16
84543 62864 9
27263 78635 10
19160 79706 20
46120 51329 6
43044 97571 17
31538 12178 7
16334 75965 4
48838 65268 3
3645 65099 1
26371 97139 9
19761 81447 12
54130 84289 2
70305 38451 8
33926 85939 2
915 98545 7
27727 51642 3
60800 44642 19
49309 21990 13
32394 10675 15
57899 89069 6
52472 88802 3
99061 76267 4
51523 95623 14
79759 51596 4
77796 29371 3
77334 83951 18
58443 26005 7
36166 72448 19
51852 81324 12
82312 74137 12
91025 62492 10
2361 11754 17
17559 75384 2
64727 28183 14
50129 63935 18
32440 27357 4
13580 28471 7
721 40976 2
4316 85088 5
33358 6038 5
77800 82033 12
23454 48012 20
20968 78909 4
41860 23525 17
92107 31046 13
5398 18978 19
35280 13878 19
77509 67667 19
62364 99117 12
70129 19957 13
60307 22371 8
27170 65240 1
32121 21829 9
50950 6754 14
50476 21055 9
43369 19888 17
71153 89405 19
39791 22464 16
52965 75846 19
1870 81368 6
91285 25853 17
64734 59540 8
90133 44329 2
69823 73611 13
7969 90834 9
974 4756 8
55817 88265 5
70354 58813 15
58900 25802 7
81790 44533 11
36807 22227 5
17815 24088 12
10344 31324 16
76172 43946 20
96948 90902 3
80962 49513 2
93383 70947 8
594 39044 17
87093 17598 2
84484 47921 6
13512 57889 13
11577 92618 20
53457 58146 13
61585 27717 11
91839 44968 18
4716 56789 1
75780 85243 17
92695 70728 13
22610 34948 18
41804 85062 19
83755 83743 15
83444 3276 20
68513 30832 6
36292 43893 13
84687 56514 4
76005 33692 18
65036 10019 4
83733 40338 5
42926 53475 17
63625 97667 13
1005 38575 14
95633 76598 15
79625 62314 9
26283 37833 11
89808 63025 17
58899 42787 15
8292 52369 6
90780 83856 20
96907 91081 12
9647 51555 15
60568 3298 10
6241 48043 4
52601 56457 4
55041 94821 4
73735 26187 20
29127 60894 16
30661 29179 3
37083 7595 7
81662 31832 5
29639 775 11
41916 91801 2
65992 66230 18
99689 30752 17
91696 83089 4
86621 73667 18
54711 3165 8
62451 89113 7
26342 52995 20
30543 77494 10
23322 73425 1
66559 52125 11
14404 86272 10
41150 29007 15
51020 44112 6
827 44992 5
84149 80985 16
94300 81615 8
49680 19433 10
11815 58377 20
90260 33106 19
69194 35212 15
82242 7784 5
3398 5081 11
61518 1245 8
26203 67938 6
43103 25213 14
30325 95987 4
47911 60367 16
38997 41498 2
97275 56041 13
63950 6540 6
1674 90089 3
82952 13652 15
17920 36946 8
59533 5083 12
5963 75021 10
92887 52750 3
44609 60469 11
83953 76522 17
28313 59696 15
44352 48155 5
85750 82732 14
93832 55032 1
3348 33729 11
80420 338 18
94582 37086 6
38167 95995 10
77716 64106 18
46847 16628 15
10214 24659 4
86997 22171 6
34262 61414 18
6606 51350 18
82217 68586 7
99119 69486 20
70958 37260 19
73444 82031 18
14756 81185 4
4803 68021 6
96937 43493 13
11130 2725 4
50676 40652 9
91973 88372 10
31315 71612 17
25920 40397 1
56755 18721 11
62954 18174 2
92180 88625 15
64781 28587 9
15029 99137 19
76027 16077 17
79841 17375 19
24425 47163 9
58801 4883 20
52946 93575 13
24260 9608 15
37521 65368 7
99758 34642 18
84059 11056 3
51345 3909 17
99881 57095 14
24335 73183 12
96786 85611 20
743 88069 3
21894 94970 10
44010 35130 4
48728 11660 5
91737 25539 12
14175 71189 5
87374 59897 15
20718 61719 2
92626 89794 10
83845 84098 1
96414 40920 9
11563 16861 11
34844 45774 16
6598 48780 17
93977 72306 1
6753 37564 18
35505 29776 7
12174 49727 2
33351 43259 15
30114 29863 11
48633 12336 12
7001 57448 14
85528 8977 1
41521 99316 15
64307 39667 19
40656 9957 11
14686 95373 19
27729 95355 11
36150 314 4
10590 7536 14
22698 24700 19
47231 29933 4
49553 78846 8
839 35462 8
95223 98407 13
64183 7070 8
60518 38861 17
25317 92551 15
50659 35019 16
40889 63985 11
7924 47039 5
13353 36346 4
17573 65324 1
27730 37979 6
62879 46978 4
41854 94074 17
84906 61662 14
3705 55813 8
77055 38670 3
64309 88119 10
80579 9009 5
43231 92036 17
64616 81681 16
34718 24229 2
73397 26470 17
69714 14809 20
21651 72569 9
66619 18759 7
